|   ID | Manufacturer_Name                          | City        | State           |
|  353 | CHERUB FASHION PRIVATE LIMITED            | Noida        | Uttar Pradesh   |
|  354 | OTABU                                     | Surat        | Gujarat         |
|  355 | The Rainbow Tribe                         | New Delhi    | Delhi           |
|  356 | Excel Textile                             | Ghaziabad    | Uttar Pradesh   |
|  357 | CHANDERKASH ENTERPRISES                   | Delhi        | Delhi           |
|  358 | ADDYVERO                                  | Gurgaon      | Haryana         |
|  359 | Stupa fashion                             | New Delhi    | Delhi           |
|  360 | Aman Exports International                | Jaipur       | Rajasthan       |
|  361 | Clora Creation                            | New Delhi    | Delhi           |
|  362 | Popnetic Fashions                         | Noida        | Uttar Pradesh   |
|  363 | -                                         | Mumbai       | Maharashtra     |
|  364 | Radhey Rama Landmark Private Limited     | Jaipur       | Rajasthan       |
|  365 | AMBRAEE                                   | Jaipur       | Rajasthan       |
|  366 | DAYA EXPO                                 | Faridabad    | Haryana         |
|  367 | Weave And Knits                           | Gurgaon      | Haryana         |
|  368 | KRIDEV                                    | Mumbai       | Maharashtra     |
|  369 | Parmar Enterprise                         | Surat        | Gujarat         |
|  370 | Risingstars                               | Ghaziabad    | Uttar Pradesh   |
|  371 | Mala Merchant                             | Ahmedabad    | Gujarat         |
|  372 | KARTIK FASHION                            | Noida        | Uttar Pradesh   |
|  373 | Brijal Lad                                | Surat        | Gujarat         |
|  374 | Jamie infotech                            | Delhi        | Delhi           |
|  375 | MONARK CREATION INDIA                     | New Delhi    | Delhi           |
|  376 | Falcon Apparels                           | New Delhi    | Delhi           |
|  377 | Galaxy Garments Pvt Ltd                   | Noida        | Uttar Pradesh   |
|  378 | Broowl International                      | Delhi        | Delhi           |
|  379 | P Inspiration.                            | Kolkata      | West Bengal     |
|  380 | GENERATION                                | Delhi        | Delhi           |
|  381 | Berrylush Designs Private Limited         | Noida        | Uttar Pradesh   |
|  382 | Falcon Apparels                           | New Delhi    | Delhi           |
|  383 | GG Apparels                               | Gurugram     | Haryana         |
